"Word","Typelänge_Zeichen","PoS-Tag","Typefrequenz_absolut","Nachbarn_Coltheart_alle_Anzahl_absolut","Nachbarn_Levenshtein_alle_Anzahl_absolut","FOLK_Frequenz","Leipzig_Frequenz","Kategorie","Katnr","Überkategorie","End_Vorauswahl","Typelänge_Zeichena","Typefrequenz_absoluta","Nachbarn_Levenshtein_alle_Anzahl_absoluta","Nachbarn_Coltheart_alle_Anzahl_absoluta","Leipzig_Frequenza","devscore","ID"
"Platane",7,"nn",20,2,5,NA,4,"Baumart","1",0,9,0.00708145740986403,0.467701247461391,0.578958901412232,0.602473347425176,0.383916323205671,1.05374160628349,1
"Pappel",6,"nn",78,16,22,NA,2,"Baumart","1",0,5,0.408954165419658,0.417558735266298,0.409477342665489,0.449058383624601,0.405612082544291,1.23599024335144,2
"Fichte",6,"nn",896,18,25,NA,15,"Baumart","1",0,5,0.408954165419658,0.289623591898979,0.583907268090969,0.599277202345997,0.264589646843261,1.28248502540961,3
"Ahorn",5,"nn",54,7,11,1,4,"Baumart","1",0,9,0.82498978824918,0.438307361002199,0.230099050561272,0.226926300621684,0.383916323205671,1.49339619981265,4
"Rotbuche",8,"nn",18,0,3,NA,2,"Baumart","1",0,6,0.423117080239386,0.469430299606049,0.695245518362552,0.752692166146572,0.405612082544291,1.58779289820799,5
"Zypresse",8,"nn",18,1,2,NA,4,"Baumart","1",0,5,0.423117080239386,0.469430299606049,0.753388826837712,0.677582756785874,0.383916323205671,1.64593620668315,6
"Akazie",6,"nn",33,0,1,NA,NA,"Baumart","1",0,9,0.408954165419658,0.456462408521111,0.811532135312872,0.752692166146572,NA,1.67694870925364,7
"Ulme",4,"nn",48,11,16,NA,3,"Baumart","1",0,9,1.2410254110787,0.443494517436174,0.0606174918145286,0.073511336821109,0.394764202874981,1.7451374203294,8
"Eiche",5,"nn",379,23,29,2,24,"Baumart","1",0,9,0.82498978824918,0.157336387495212,0.816480501991609,0.974824249149489,0.166958729819471,1.798806677736,9
"Esche",5,"nn",99,19,27,1,4,"Baumart","1",0,5,0.82498978824918,0.399403687747385,0.700193885041289,0.674386611706695,0.383916323205671,1.92458736103785,10
"Spargel",7,"nn",287,7,12,8,25,"Gemüse","2",0,6,0.00708145740986403,0.236872786149497,0.171955742086112,0.226926300621684,0.156110850150161,0.415909985645473,11
"Zwiebel",7,"nn",637,3,6,12,14,"Gemüse","2",0,12,0.00708145740986403,0.065711339165719,0.520815592937072,0.527363938064477,0.275437526512571,0.593608389512655,12
"Paprika",7,"nn",340,1,4,11,7,"Gemüse","2",0,6,0.00708145740986403,0.19105290431605,0.637102209887392,0.677582756785874,0.351372684197741,0.835236571613307,13
"Wirsing",7,"nn",47,3,6,NA,2,"Gemüse","2",0,8,0.00708145740986403,0.444359043508503,0.520815592937072,0.527363938064477,0.405612082544291,0.972256093855439,14
"Spinat",6,"nn",293,3,9,9,15,"Gemüse","2",0,10,0.408954165419658,0.231685629715522,0.346385667511592,0.527363938064477,0.264589646843261,0.987025462646772,15
"Rotkohl",7,"nn",71,1,4,4,4,"Gemüse","2",0,8,0.00708145740986403,0.423610417772602,0.637102209887392,0.677582756785874,0.383916323205671,1.06779408506986,16
"Tomate",6,"nn",187,2,4,9,6,"Gemüse","2",0,6,0.408954165419658,0.323325393382416,0.637102209887392,0.602473347425176,0.362220563867051,1.36938176868947,17
"Kohlrabi",8,"nn",143,0,2,3,1,"Gemüse","2",0,8,0.423117080239386,0.361364540564901,0.753388826837712,0.752692166146572,0.416459962213601,1.537870447642,18
"Grünkohl",8,"nn",66,0,2,NA,6,"Gemüse","2",0,8,0.423117080239386,0.427933048134248,0.753388826837712,0.752692166146572,0.362220563867051,1.60443895521135,19
"Kartoffel",9,"nn",377,0,4,4,19,"Gemüse","2",0,11,0.839152703068908,0.15906543963987,0.637102209887392,0.752692166146572,0.221198128166021,1.63532035259617,20
"Schürze",7,"nn",581,6,9,1,6,"Kleidung","6",1,7,0.00708145740986403,0.0172978791152844,0.346385667511592,0.302035709982383,0.362220563867051,0.37076500403674,51
"Jackett",7,"nn",281,3,7,1,7,"Kleidung","6",1,11,0.00708145740986403,0.242059942583472,0.462672284461912,0.527363938064477,0.351372684197741,0.711813684455249,52
"Strumpf",7,"nn",243,1,6,1,2,"Kleidung","6",1,7,0.00708145740986403,0.274911933331982,0.520815592937072,0.677582756785874,0.405612082544291,0.802808983678918,53
"Bluse",5,"nn",642,12,16,NA,11,"Kleidung","6",1,7,0.82498978824918,0.070033969527365,0.0606174918145286,0.148620746181807,0.307981165520501,0.955641249591073,54
"Pullover",8,"nn",429,1,5,6,21,"Kleidung","6",1,9,0.423117080239386,0.114110083878752,0.578958901412232,0.677582756785874,0.199502368827401,1.11618606553037,55
"Kittel",6,"nn",492,19,27,NA,3,"Kleidung","6",1,7,0.408954165419658,0.0596449413220135,0.700193885041289,0.674386611706695,0.394764202874981,1.16879299178296,56
"Jeans",5,"nn",201,14,18,8,69,"Kleidung","6",1,9,0.82498978824918,0.311222028369808,0.176904108764849,0.298839564903204,0.321195855299479,1.31311592538384,57
"Kopftuch",8,"nn",263,0,2,9,21,"Kleidung","6",1,9,0.423117080239386,0.257621411885398,0.753388826837712,0.752692166146572,0.199502368827401,1.4341273189625,58
"Handschuh",9,"nn",330,1,6,10,6,"Kleidung","6",1,7,0.839152703068908,0.199698165039342,0.520815592937072,0.677582756785874,0.362220563867051,1.55966646104532,59
"Halstuch",8,"nn",124,0,1,3,3,"Kleidung","6",1,7,0.423117080239386,0.377790535939155,0.811532135312872,0.752692166146572,0.394764202874981,1.61243975149141,60
"Teekanne",8,"nn",60,1,3,NA,2,"Küchenutensil","7",1,11,0.423117080239386,0.433120204568223,0.695245518362552,0.677582756785874,0.405612082544291,1.55148280317016,61
"Löffel",6,"nn",1258,2,5,18,21,"Küchenutensil","7",1,5,0.408954165419658,0.602582030082146,0.578958901412232,0.602473347425176,0.199502368827401,1.59049509691404,62
"Backform",8,"nn",4,2,2,NA,NA,"Küchenutensil","7",1,4,0.423117080239386,0.481533664618658,0.753388826837712,0.602473347425176,NA,1.65803957169576,63
"Backblech",9,"nn",16,0,1,NA,10,"Küchenutensil","7",1,4,0.839152703068908,0.471159351750708,0.811532135312872,0.752692166146572,0.318829045189811,2.12184419013249,64
"Topf",4,"nn",955,18,26,35,81,"Küchenutensil","7",1,15,1.2410254110787,0.340630630166401,0.642050576566129,0.599277202345997,0.451370411331199,2.22370661781123,65
"Kuchenform",10,"nn",8,1,1,NA,NA,"Küchenutensil","7",1,4,1.25518832589843,0.478075560329341,0.811532135312872,0.677582756785874,NA,2.54479602154064,66
"Gabel",5,"nn",1355,29,38,16,31,"Küchenutensil","7",1,5,0.82498978824918,0.686441059098077,1.33977027826805,1.42548070531368,0.0910235721343012,2.85120112561531,67
"Schneebesen",11,"nn",32,0,1,1,3,"Küchenutensil","7",1,5,1.67122394872795,0.457326934593441,0.811532135312872,0.752692166146572,0.394764202874981,2.94008301863426,68
"Tortenheber",11,"nn",12,0,0,NA,1,"Küchenutensil","7",1,5,1.67122394872795,0.474617456040024,0.869675443788033,0.752692166146572,0.416459962213601,3.01551684855601,69
"Tasse",5,"nn",1370,35,41,20,22,"Küchenutensil","7",1,7,0.82498978824918,0.699408950183015,1.51420020369353,1.87613716147787,0.188654489158091,3.03859894212572,70
"Steppe",6,"nn",375,5,11,3,7,"Landschaftsmerkmal","3",0,3,0.408954165419658,0.160794491784529,0.230099050561272,0.377145119343081,0.351372684197741,0.799847707765458,21
"Schlucht",8,"nn",470,5,7,NA,19,"Landschaftsmerkmal","3",0,3,0.423117080239386,0.0786645149132556,0.462672284461912,0.377145119343081,0.221198128166021,0.964453879614554,22
"Urwald",6,"nn",347,3,8,1,13,"Landschaftsmerkmal","3",0,3,0.408954165419658,0.185001221809746,0.404528975986752,0.527363938064477,0.286285406181881,0.998484363216156,23
"Sumpf",5,"nn",526,7,12,NA,17,"Landschaftsmerkmal","3",0,3,0.82498978824918,0.030251054862821,0.171955742086112,0.226926300621684,0.242893887504641,1.02719658519811,24
"Gebirge",7,"nn",1294,3,8,20,25,"Landschaftsmerkmal","3",0,4,0.00708145740986403,0.633704968685997,0.404528975986752,0.527363938064477,0.156110850150161,1.04531540208261,25
"Savanne",7,"nn",39,2,3,NA,5,"Landschaftsmerkmal","3",0,3,0.00708145740986403,0.451275252087136,0.695245518362552,0.602473347425176,0.373068443536361,1.15360222785955,26
"Strand",6,"nn",983,4,8,26,173,"Landschaftsmerkmal","3",0,3,0.408954165419658,0.364837360191619,0.404528975986752,0.452254528703779,1.44937534090772,1.17832050159803,27
"Salzsee",7,"nn",24,0,2,NA,2,"Landschaftsmerkmal","3",0,4,0.00708145740986403,0.464243143172074,0.753388826837712,0.752692166146572,0.405612082544291,1.22471342741965,28
"Lagune",6,"nn",146,2,5,NA,9,"Landschaftsmerkmal","3",0,4,0.408954165419658,0.358770962347913,0.578958901412232,0.602473347425176,0.329676924859121,1.3466840291798,29
"Fluss",5,"nn",100,8,11,10,114,"Landschaftsmerkmal","3",0,5,0.82498978824918,0.398539161675056,0.230099050561272,0.151816891260986,0.809350440418429,1.45362800048551,30
"Panther",7,"nn",212,8,14,4,30,"Landtier","4",0,8,0.00708145740986403,0.301712241574187,0.0556691251357916,0.151816891260986,0.101871451803611,0.364462824119842,31
"Schwein",7,"nn",978,11,20,21,36,"Landtier","4",0,11,0.00708145740986403,0.360514729829973,0.293190725715169,0.073511336821109,0.0367841737877512,0.660786912955006,32
"Elefant",7,"nn",306,3,5,9,18,"Landtier","4",0,6,0.00708145740986403,0.220446790775243,0.578958901412232,0.527363938064477,0.232046007835331,0.806487149597339,33
"Gazelle",7,"nn",47,5,6,NA,1,"Landtier","4",0,7,0.00708145740986403,0.444359043508503,0.520815592937072,0.377145119343081,0.416459962213601,0.972256093855439,34
"Giraffe",7,"nn",48,0,5,8,7,"Landtier","4",0,7,0.00708145740986403,0.443494517436174,0.578958901412232,0.752692166146572,0.351372684197741,1.02953487625827,35
"Büffel",6,"nn",160,6,9,NA,3,"Landtier","4",0,7,0.408954165419658,0.346667597335304,0.346385667511592,0.302035709982383,0.394764202874981,1.10200743026655,36
"Nashorn",7,"nn",90,0,3,2,6,"Landtier","4",0,6,0.00708145740986403,0.407184422398348,0.695245518362552,0.752692166146572,0.362220563867051,1.10951139817076,37
"Känguru",7,"nn",1,0,2,8,4,"Landtier","4",0,6,0.00708145740986403,0.484127242835646,0.753388826837712,0.752692166146572,0.383916323205671,1.24459752708322,38
"Maultier",8,"nn",128,3,6,NA,NA,"Landtier","4",0,7,0.423117080239386,0.374332431649838,0.520815592937072,0.527363938064477,NA,1.3182651048263,39
"Maulwurf",8,"nn",188,1,4,4,12,"Landtier","4",0,7,0.423117080239386,0.322460867310087,0.637102209887392,0.677582756785874,0.297133285851191,1.38268015743687,40
"Schrank",7,"nn",1262,7,15,71,46,"Möbelstück","8",1,3,0.00708145740986403,0.606040134371463,0.00247418333936848,0.226926300621684,0.0716946229053489,0.615595775120695,71
"Kommode",7,"nn",336,4,5,3,3,"Möbelstück","8",1,3,0.00708145740986403,0.194511008605367,0.578958901412232,0.452254528703779,0.394764202874981,0.780551367427463,72
"Couch",5,"nn",316,10,16,15,25,"Möbelstück","8",1,5,0.82498978824918,0.211801530051951,0.0606174918145286,0.0015980725395893,0.156110850150161,1.09740881011566,73
"Ehebett",7,"nn",84,1,3,NA,2,"Möbelstück","8",1,4,0.00708145740986403,0.412371578832323,0.695245518362552,0.677582756785874,0.405612082544291,1.11469855460474,74
"Truhe",5,"nn",318,8,13,5,17,"Möbelstück","8",1,3,0.82498978824918,0.210072477907292,0.113812433610952,0.151816891260986,0.242893887504641,1.14887469976742,75
"Hocker",6,"nn",218,18,23,7,9,"Möbelstück","8",1,4,0.408954165419658,0.296525085140211,0.467620651140649,0.599277202345997,0.329676924859121,1.17309990170052,76
"Regal",5,"nn",353,16,24,35,21,"Möbelstück","8",1,3,0.82498978824918,0.179814065375771,0.525763959615809,0.449058383624601,0.199502368827401,1.53056781324076,77
"Lehnstuhl",9,"nn",320,1,3,NA,2,"Möbelstück","8",1,5,0.839152703068908,0.208343425762634,0.695245518362552,0.677582756785874,0.405612082544291,1.74274164719409,78
"Esstisch",8,"nn",2,0,0,2,8,"Möbelstück","8",1,5,0.423117080239386,0.483262716763316,0.869675443788033,0.752692166146572,0.340524804528431,1.77605524079073,79
"Sessel",6,"nn",1835,18,23,17,32,"Möbelstück","8",1,4,0.408954165419658,1.10141357381609,0.467620651140649,0.599277202345997,0.0801756924649912,1.9779883903764,80
"Kutsche",7,"nn",328,14,21,32,19,"Verkehrsmittel","9",1,4,0.00708145740986403,0.201427217184001,0.351334034190329,0.298839564903204,0.221198128166021,0.559842708784194,81
"Fahrrad",7,"nn",705,0,4,92,170,"Verkehrsmittel","9",1,4,0.00708145740986403,0.124499112084104,0.637102209887392,0.752692166146572,1.41683170189979,0.76868277938136,82
"S-Bahn",6,"nn",181,5,8,NA,71,"Verkehrsmittel","9",1,6,0.408954165419658,0.328512549816391,0.404528975986752,0.377145119343081,0.342891614638099,1.1419956912228,83
"Motorrad",8,"nn",330,2,6,191,121,"Verkehrsmittel","9",1,4,0.423117080239386,0.199698165039342,0.520815592937072,0.602473347425176,0.885285598103599,1.1436308382158,84
"Dreirad",7,"nn",20,0,3,2,2,"Verkehrsmittel","9",1,4,0.00708145740986403,0.467701247461391,0.695245518362552,0.752692166146572,0.405612082544291,1.17002822323381,85
"U-Bahn",6,"nn",169,5,7,NA,57,"Verkehrsmittel","9",1,5,0.408954165419658,0.338886862684342,0.462672284461912,0.377145119343081,0.191021299267759,1.21051331256591,86
"Fähre",5,"nn",213,14,19,9,44,"Verkehrsmittel","9",1,5,0.82498978824918,0.300847715501857,0.235047417240009,0.298839564903204,0.0499988635667288,1.36088492099105,87
"Automobil",9,"nn",567,1,6,NA,7,"Verkehrsmittel","9",1,5,0.839152703068908,0.00519451410267577,0.520815592937072,0.677582756785874,0.351372684197741,1.36516281010866,88
"Karren",6,"nn",509,24,31,3,7,"Verkehrsmittel","9",1,6,0.408954165419658,0.0449479980924172,0.93276711894193,1.04993365851019,0.351372684197741,1.386669282454,89
"Nachtzug",8,"nn",50,0,4,NA,3,"Verkehrsmittel","9",1,6,0.423117080239386,0.441765465291515,0.637102209887392,0.752692166146572,0.394764202874981,1.50198475541829,90
"Kuckuck",7,"nn",252,1,5,5,5,"Vogel","5",0,6,0.00708145740986403,0.267131198681019,0.578958901412232,0.677582756785874,0.373068443536361,0.853171557503115,41
"Pelikan",7,"nn",49,4,8,NA,5,"Vogel","5",0,6,0.00708145740986403,0.442629991363844,0.404528975986752,0.452254528703779,0.373068443536361,0.85424042476046,42
"Papagei",7,"nn",244,2,5,1,11,"Vogel","5",0,11,0.00708145740986403,0.274047407259652,0.578958901412232,0.602473347425176,0.307981165520501,0.860087766081749,43
"Elster",6,"nn",173,10,18,NA,10,"Vogel","5",0,6,0.408954165419658,0.335428758395025,0.176904108764849,0.0015980725395893,0.318829045189811,0.921287032579531,44
"Sperling",8,"nn",260,3,10,NA,3,"Vogel","5",0,6,0.423117080239386,0.260214990102385,0.288242359036432,0.527363938064477,0.394764202874981,0.971574429378203,45
"Storch",6,"nn",223,4,10,NA,14,"Vogel","5",0,6,0.408954165419658,0.292202454778565,0.288242359036432,0.452254528703779,0.275437526512571,0.989398979234655,46
"Schwalbe",8,"nn",164,2,11,NA,3,"Vogel","5",0,6,0.423117080239386,0.343209493045988,0.230099050561272,0.602473347425176,0.394764202874981,0.996425623846645,47
"Pinguin",7,"nn",21,1,4,3,11,"Vogel","5",0,6,0.00708145740986403,0.466836721389062,0.637102209887392,0.677582756785874,0.307981165520501,1.11102038868632,48
"Drossel",7,"nn",43,1,3,NA,1,"Vogel","5",0,6,0.00708145740986403,0.44781714779782,0.695245518362552,0.677582756785874,0.416459962213601,1.15014412357024,49
"Specht",6,"nn",191,3,7,NA,5,"Vogel","5",0,6,0.408954165419658,0.3198672890931,0.462672284461912,0.527363938064477,0.373068443536361,1.19149373897467,50
"Bohrer",6,"nn",138,8,12,2,7,"Werkzeug","10",1,6,0.408954165419658,0.365687170926547,0.171955742086112,0.151816891260986,0.351372684197741,0.946597078432316,91
"Meißel",6,"nn",114,7,12,5,1,"Werkzeug","10",1,3,0.408954165419658,0.386435796662447,0.171955742086112,0.226926300621684,0.416459962213601,0.967345704168217,92
"Schaufel",8,"nn",294,1,3,1,5,"Werkzeug","10",1,6,0.423117080239386,0.230821103643193,0.695245518362552,0.677582756785874,0.373068443536361,1.34918370224513,93
"Spachtel",8,"nn",47,0,3,1,4,"Werkzeug","10",1,4,0.423117080239386,0.444359043508503,0.695245518362552,0.752692166146572,0.383916323205671,1.56272164211044,94
"Amboss",6,"nn",1,1,3,NA,2,"Werkzeug","10",1,3,0.408954165419658,0.484127242835646,0.695245518362552,0.677582756785874,0.405612082544291,1.58832692661786,95
"Hammer",6,"nn",975,26,35,137,101,"Werkzeug","10",1,8,0.408954165419658,0.357921151612985,1.16534035284257,1.20015247723158,0.668328004717399,1.93221566987521,96
"Zollstock",9,"nn",46,1,1,2,1,"Werkzeug","10",1,3,0.839152703068908,0.445223569580832,0.811532135312872,0.677582756785874,0.416459962213601,2.09590840796261,97
"Säge",4,"nn",242,18,26,8,12,"Werkzeug","10",1,3,1.2410254110787,0.275776459404311,0.642050576566129,0.599277202345997,0.297133285851191,2.15885244704914,98
"Rohrzange",9,"nn",3,0,0,NA,1,"Werkzeug","10",1,4,0.839152703068908,0.482398190690987,0.869675443788033,0.752692166146572,0.416459962213601,2.19122633754793,99
"Axt",3,"nn",357,20,25,2,15,"Werkzeug","10",1,3,1.65706103390822,0.176355961086454,0.583907268090969,0.749496021067394,0.264589646843261,2.41732426308565,100
